time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_up_proj.count,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_act.count,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mlp_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.002879,0.003759,0.0032447142857142852,0.003239,0.0001702818791514439,21,0.041349000000000004,0.04870900000000001,0.045065,0.045128999999999996,0.001730151438458496,20,0.07439799999999999,0.079358,0.07603190000000001,0.076018,0.0010349390755015472,20,0.007839,0.009199,0.008104950000000001,0.008018999999999998,0.00028463072128637163,20,0.07303799999999999,0.07539799999999999,0.0741919,0.074178,0.0005126664510185922,20,0.051108999999999995,0.05458900000000001,0.05365295000000001,0.053689,0.000681194867493879,20,0.073238,0.074598,0.0738639,0.073798,0.0004042243065427917,20,0.003559,0.003799,0.00362895,0.003599,6.18307973424247e-05,20,0.026598000000000004,0.030198000000000003,0.027458000000000003,0.027158,0.0007286700213402497,20,128,128,7168,2048,129280,True,False,False,32,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002839,0.003719,0.0033475714285714294,0.003359,0.00020176095507604358,21,0.04394900000000001,0.049749,0.04668500000000001,0.046749,0.001309008785302832,20,0.07419800000000001,0.07647799999999999,0.07512395000000001,0.07523800000000001,0.0005788442342288622,20,0.007799,0.008558999999999999,0.00805695,0.008099,0.00019566769661852728,20,0.07219800000000001,0.076437,0.0736139,0.073238,0.001046737450366615,20,0.053509,0.055149000000000004,0.054120999999999996,0.05408899999999999,0.00046062566146492476,20,0.071838,0.074918,0.07294985000000001,0.072838,0.0006910873515699734,20,0.003519,0.003759,0.003631,0.003599,8.997777503361598e-05,20,0.026118,0.027677999999999998,0.026937949999999995,0.026938000000000004,0.00035790787571664316,20,128,128,7168,2048,129280,True,False,False,31,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002879,0.003759,0.003399,0.003399,0.00020912516188477498,21,0.042029000000000004,0.04982900000000001,0.045315,0.045149,0.0025836493570142224,20,0.07303799999999999,0.078477,0.0750835,0.0746575,0.0016804303764214705,20,0.007799,0.008439,0.008061,0.008079000000000001,0.00017503142574977804,20,0.07163800000000001,0.074357,0.0729157,0.072798,0.0006498176744287576,20,0.052629,0.054469000000000004,0.053557,0.053509,0.000497288648573442,20,0.07011800000000001,0.072358,0.071262,0.071258,0.0005630488433519769,20,0.003439,0.003799,0.0035529999999999997,0.0034790000000000003,0.0001260317420335051,20,0.026477999999999998,0.027998000000000002,0.026804,0.026758000000000004,0.0003349686552500103,20,128,128,7168,2048,129280,True,False,False,30,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002879,0.003639,0.0034370952380952382,0.003439,0.00016398661523833058,21,0.04178900000000001,0.047548999999999994,0.045311,0.045849,0.0016052650871429298,20,0.07375800000000002,0.07883799999999999,0.07502600000000001,0.074678,0.0011312364916320533,20,0.007719,0.008039,0.007873000000000002,0.007879,9.145490692138895e-05,20,0.071718,0.075438,0.07316775,0.073118,0.0007505419292084874,20,0.05258899999999999,0.054748000000000005,0.053748649999999995,0.0537285,0.00051350582031755,20,0.071158,0.072918,0.0723319,0.07241800000000001,0.0004607633774509415,20,0.003519,0.005799,0.0037150000000000004,0.003599,0.00048347078505324404,20,0.026038000000000002,0.027238000000000005,0.02673595,0.026718000000000002,0.000289423301584375,20,128,128,7168,2048,129280,True,False,False,29,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002839,0.003559,0.0032751904761904767,0.003319,0.00014961780485070843,21,0.041509,0.048949,0.045421,0.045628999999999996,0.0020844414119854733,20,0.074757,0.080518,0.07584579999999999,0.075638,0.001179757330979555,20,0.007679,0.008039,0.007887,0.007879,9.43186089804123e-05,20,0.072958,0.075158,0.0740017,0.074078,0.0005716665199222379,20,0.052429,0.05438900000000001,0.05325490000000001,0.053309,0.000448269215985216,20,0.07311800000000002,0.078518,0.07439199999999999,0.074158,0.001198283772734988,20,0.0034790000000000003,0.005359,0.0037010000000000007,0.003599,0.00040308311797940624,20,0.025598,0.027718,0.026856,0.026918,0.0005196113932546128,20,128,128,7168,2048,129280,True,False,False,28,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002839,0.003799,0.0033570952380952384,0.003359,0.00017346933440041864,21,0.043269000000000016,0.04910900000000001,0.046322999999999996,0.046169,0.0018838800386436485,20,0.072518,0.07439799999999999,0.07344795000000001,0.07345750000000001,0.0004942681938988173,20,0.007679,0.008478999999999999,0.008048950000000001,0.008018999999999998,0.00019297939656864942,20,0.071078,0.07327800000000001,0.07216789999999998,0.072198,0.0005290463968311289,20,0.050909,0.05454899999999999,0.05359295000000001,0.0537085,0.0007632381328916926,20,0.070358,0.07363800000000001,0.071618,0.071498,0.0007921111033182157,20,0.003559,0.003759,0.0036450000000000002,0.003639,6.232174580353152e-05,20,0.026157999999999997,0.027758000000000005,0.026648000000000005,0.026538,0.00039168865186522874,20,128,128,7168,2048,129280,True,False,False,27,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002519,0.003559,0.0031437142857142853,0.003159,0.00020602060527024564,21,0.04174900000000001,0.048389,0.045091,0.045249,0.0021300319246433845,20,0.073278,0.077918,0.07450800000000002,0.07397800000000002,0.0012913791077758688,20,0.007679,0.008478999999999999,0.007933,0.007918999999999999,0.00018254862365956061,20,0.070958,0.076358,0.07219179999999999,0.072098,0.001061797419473224,20,0.053028,0.05474799999999999,0.053662749999999995,0.053628999999999996,0.00046546448575589277,20,0.070598,0.07291800000000001,0.07192394999999999,0.07199749999999999,0.0006341266809557868,20,0.003599,0.003919,0.0037069499999999997,0.003699,6.464400590928748e-05,20,0.026638,0.027638000000000003,0.027194000000000003,0.027138000000000002,0.0002993058636244868,20,128,128,7168,2048,129280,True,False,False,26,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002839,0.003639,0.0034085238095238096,0.003399,0.0001609044730052791,21,0.042629,0.046549,0.044563000000000005,0.044809,0.001199418192291579,20,0.07291800000000001,0.074998,0.07396990000000002,0.0739175,0.0005980656234895967,20,0.007719,0.008319000000000002,0.007949000000000001,0.007938999999999998,0.00015639693091617907,20,0.071477,0.07315799999999999,0.07223985,0.072218,0.0004673678717027933,20,0.053109,0.054109,0.053760949999999995,0.053849,0.0003022337630047304,20,0.070677,0.076318,0.0723698,0.0720575,0.001344736762344214,20,0.003559,0.004439,0.003757,0.003719,0.00017226723426119089,20,0.025398,0.028437999999999998,0.026537899999999996,0.026378,0.000689454922384342,20,128,128,7168,2048,129280,True,False,False,25,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002879,0.003679,0.003200904761904762,0.003159,0.00016947029652979216,21,0.042109,0.046909,0.045271000000000006,0.045769,0.0013812733255949017,20,0.07467700000000001,0.080358,0.07644179999999999,0.0760575,0.001279298933009793,20,0.007479,0.007999,0.007775,0.007779,0.00013169662106523428,20,0.073318,0.075518,0.07458195000000001,0.074578,0.00046653450836995985,20,0.052589,0.054069000000000006,0.053316949999999995,0.053369,0.00040491091304137555,20,0.073278,0.074798,0.074082,0.074198,0.0004127759682927295,20,0.003439,0.003639,0.003491,0.0034790000000000003,4.578209256903828e-05,20,0.025838,0.027718,0.026858,0.026878,0.0004512205669071393,20,128,128,7168,2048,129280,True,False,False,24,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
0.002879,0.004439,0.0033894761904761906,0.003359,0.00027322546403110265,21,0.042989,0.048709,0.04564095,0.045609,0.0016639583070197392,20,0.073198,0.07875800000000001,0.07456800000000001,0.074118,0.0014076860445426053,20,0.007399,0.008079000000000001,0.007671,0.007639000000000001,0.00016666133324799725,20,0.071678,0.07327800000000001,0.07238995,0.07239800000000002,0.00041423573904239574,20,0.053269,0.05454899999999999,0.05380885,0.0537085,0.0003667943940411301,20,0.071438,0.073597,0.07263975000000002,0.072718,0.0005413475662640406,20,0.003519,0.003759,0.003585,0.003559,6.359245238233862e-05,20,0.026278,0.027958000000000004,0.026923949999999995,0.026938,0.000351529013738554,20,128,128,7168,2048,129280,True,False,False,23,1,7168,2048,generic,generic,,,KERNEL_ONLY,BF16,method=fp8|act=dynamic|serialized=True|block=128x128
