time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.002799,0.003479,0.0029780476190476,0.002959,0.0001448120213999,21.0,0.029948,0.039669,0.03505895,0.034789,0.0020899021621836,20.0,0.050463,0.0705429999999999,0.06224495,0.062803,0.0055428666092104,20,0.004959,0.0051589999999999,0.005067,0.005079,7.277362159464086e-05,20,0.009119,0.009719,0.009393,0.009319,0.0001772117377602,20,0.0296689999999999,0.040989,0.035009,0.035009,0.00241662574678,20.0,32,4,2048,768,151936,True,True,False,32,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002599,0.003159,0.0028732857142857,0.002879,0.0001085212916818,21.0,0.032709,0.036429,0.034375,0.034489,0.0009942454425341,20.0,0.050422,0.0701429999999999,0.0605968,0.061723,0.0057610118694548,20,0.004879,0.005199,0.005025,0.005019,8.604649905719582e-05,20,0.009239,0.009999,0.009469,0.009479,0.0001691744661584,20,0.0304289999999999,0.037429,0.034101,0.034609,0.0024421171143088,20.0,32,4,2048,768,151936,True,True,False,31,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002759,0.003039,0.0029304285714285,0.002959,7.106574516639107e-05,21.0,0.030149,0.0393489999999999,0.0336488999999999,0.0338285,0.0021624523324226,20.0,0.050623,0.070703,0.0596109999999999,0.057983,0.00558353436454,20,0.004599,0.004839,0.004685,0.004659,6.60605782596548e-05,20,0.009239,0.010959,0.009567,0.009519,0.000359243649909,20,0.0303489999999999,0.037509,0.032999,0.032669,0.002233056201711,20.0,32,4,2048,768,151936,True,True,False,30,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002799,0.003119,0.0029228095238095,0.002919,8.363618438133405e-05,21.0,0.032789,0.036709,0.0341709999999999,0.0340489999999999,0.0009014188815417,20.0,0.053423,0.071423,0.0624909,0.0626825,0.0060234313883367,20,0.004719,0.005079,0.004891,0.004839,9.130169768410648e-05,20,0.008959,0.009519,0.009285,0.009299,0.000136396480893,20,0.030189,0.036429,0.03340895,0.034169,0.0020641855651806,20.0,32,4,2048,768,151936,True,True,False,29,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002759,0.003079,0.0029247142857142,0.002919,7.835033829029777e-05,21.0,0.032189,0.041949,0.035005,0.034409,0.0022633567990928,20.0,0.050263,0.0674229999999999,0.0582869499999999,0.057083,0.0052090423733638,20,0.004639,0.004919,0.0047989999999999,0.004799,6.928203230275494e-05,20,0.009039,0.009519,0.009289,0.009299,0.0001384918770181,20,0.029229,0.036629,0.033381,0.034489,0.0021596147804643,20.0,32,4,2048,768,151936,True,True,False,28,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002679,0.002999,0.0028485238095238,0.002839,7.797900758269998e-05,21.0,0.030549,0.0374689999999999,0.034473,0.035009,0.002024328036658,20.0,0.050623,0.077303,0.05857295,0.0565429999999999,0.0061336122348498,20,0.004719,0.005119,0.004923,0.004959,0.0001116422858956,20,0.008999,0.009599,0.009273,0.009299,0.0001703056076587,20,0.0301089999999999,0.035549,0.032985,0.0331889999999999,0.0017031218394466,20.0,32,4,2048,768,151936,True,True,False,27,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002759,0.008079,0.0031970952380952,0.002959,0.0010949912765367,21.0,0.032389,0.038469,0.03426695,0.034029,0.00147722978832,20.0,0.0543429999999999,0.071103,0.0620269999999999,0.0607829999999999,0.0053935502222562,20,0.004559,0.004919,0.004751,0.004739,8.05977667184394e-05,20,0.009039,0.010959,0.009359,0.009299,0.0003874016004097,20,0.029749,0.037789,0.03348095,0.0335285,0.0021930456555895,20.0,32,4,2048,768,151936,True,True,False,26,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002799,0.003039,0.0029475714285714,0.002959,7.421241805248831e-05,21.0,0.0304289999999999,0.036669,0.033945,0.034029,0.0014008511698249,20.0,0.055463,0.0729819999999999,0.06316885,0.061343,0.0055234452950581,20,0.004679,0.004959,0.004823,0.004839,7.631513611335555e-05,20,0.008879,0.011399,0.009313,0.009159,0.0005805204561425,20,0.0310689999999999,0.038429,0.03453495,0.034789,0.0019883607940964,20.0,32,4,2048,768,151936,True,True,False,25,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002799,0.003079,0.0029532857142857,0.002959,8.027164764078286e-05,21.0,0.0304289999999999,0.041948,0.0343848,0.033649,0.0023398808858572,20.0,0.049703,0.0699429999999999,0.061179,0.063363,0.0053239068361495,20,0.004639,0.004879,0.004735,0.004719,5.986651818838304e-05,20,0.008879,0.011119,0.009297,0.009239,0.0004431658831634,20,0.029909,0.038229,0.0339789999999999,0.034789,0.0023520841821669,20.0,32,4,2048,768,151936,True,True,False,24,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
0.002639,0.008039,0.0030618571428571,0.002839,0.0011158133606398,21.0,0.030069,0.036229,0.033199,0.033909,0.0019086696937919,20.0,0.053343,0.065143,0.057369,0.055963,0.0032405252660641,20,0.004599,0.005039,0.004787,0.004799,9.042123644365846e-05,20,0.008919,0.009559,0.009171,0.009199,0.0001863759641155,20,0.030749,0.035229,0.03183495,0.031589,0.0010357087657734,20.0,32,4,2048,768,151936,True,True,False,23,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
