time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.0015360000543296337,0.011776000261306763,0.0035840000957250593,0.0015360000543296337,0.004096000082790851,5,0.07014399766921997,0.08236800134181976,0.07290240079164505,0.07072000205516815,0.004738092866040068,5,1.430176019668579,1.4390720129013062,1.4348864078521728,1.4350080490112305,0.0028646938303987972,5,0.0013760000001639128,0.001408000010997057,0.0013952000066637994,0.001408000010997057,1.5676739660947454e-05,5,0.0014720000326633453,0.0015360000543296337,0.0015040000434964895,0.0015040000434964895,2.0238583876559597e-05,5,2048,32,4,16,1,9216,1,8192,0,True,FLASHINFER,False,even,[8192],8192,8192,8192,8192.0,8192,0.0,0.0,0.0,False,0,8192,8192,BF16,CUDA_EVENT,generic,generic,none
0.010304000228643417,0.013504000380635262,0.011027200147509575,0.010432000271975994,0.0012416001265273583,5,0.01958400011062622,0.022016000002622604,0.020492799952626227,0.020447999238967896,0.0008795284074409048,5,0.04368000105023384,0.04886399954557419,0.045209600031375884,0.04451199993491173,0.0018646305572434325,5,0.007584000006318092,0.00854399986565113,0.00794879999011755,0.007872000336647034,0.00031846023141679806,5,0.009535999968647957,0.010080000385642052,0.009772800281643868,0.009696000255644321,0.00020895787978372662,5,2048,32,4,16,1,9216,1,32,0,True,FLASHINFER,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,BF16,CUDA_EVENT,generic,generic,none
0.010143999941647053,0.011615999974310398,0.010643200017511845,0.010400000028312206,0.000545165718678456,5,0.019328000023961067,0.020287999883294106,0.019884799793362617,0.020096000283956528,0.0003859151598902056,5,0.04265600070357323,0.04947200044989586,0.0448000006377697,0.04403200000524521,0.0024293879329952096,5,0.007679999805986881,0.008576000109314919,0.008064000122249126,0.008128000423312187,0.00031091106331466084,5,0.009344000369310379,0.00979200005531311,0.009593600034713745,0.009664000011980534,0.0001722061968918774,5,2048,32,4,16,1,9216,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,CUDA_EVENT,generic,generic,none
0.01033599954098463,0.01206399966031313,0.010950399748980998,0.010751999914646149,0.0006083030286247024,5,0.01961600035429001,0.02099199965596199,0.020019199699163437,0.019711999222636223,0.0005098354251669898,5,0.0435199998319149,0.048928000032901764,0.04515200033783913,0.04419200122356415,0.0019700152826057503,5,0.007199999876320362,0.008608000352978706,0.007744000107049942,0.007615999784320593,0.0004853041865711374,5,0.009184000082314014,0.009664000011980534,0.009376000054180622,0.00940799992531538,0.0001798843853886019,5,2048,32,4,16,1,9216,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,BF16,CUDA_EVENT,generic,generic,none
0.010432000271975994,0.012415999546647072,0.011289599910378456,0.010847999714314938,0.0008298803727281229,5,0.01913600042462349,0.021407999098300934,0.020339199900627138,0.020191999152302742,0.0008431497578456327,5,0.04358400031924248,0.04732799902558327,0.04531200006604195,0.04460800066590309,0.0015409250237338704,5,0.007712000049650669,0.00825599953532219,0.007961599808186292,0.008031999692320824,0.0002057974344767276,5,0.009279999881982803,0.010143999941647053,0.009676800109446049,0.009568000212311745,0.0003222957962224041,5,2048,32,4,16,1,9216,1,128,0,True,FLASHINFER,False,even,[128],128,128,128,128.0,128,0.0,0.0,0.0,False,0,128,128,BF16,CUDA_EVENT,generic,generic,none
0.01027199998497963,0.011071999557316303,0.010675200074911118,0.010688000358641148,0.00029509470791223635,5,0.019168000668287277,0.020800000056624413,0.019897600263357164,0.020031999796628952,0.0005686280982652906,5,0.04275200143456459,0.04806400090456009,0.04455040097236633,0.043776001781225204,0.0019185486154455996,5,0.007615999784320593,0.0080960001796484,0.007865600008517503,0.007935999892652035,0.00017573809376424617,5,0.009375999681651592,0.00979200005531311,0.009561599977314473,0.009535999968647957,0.00013332917879248986,5,2048,32,4,16,1,9216,1,160,0,True,FLASHINFER,False,even,[160],160,160,160,160.0,160,0.0,0.0,0.0,False,0,160,160,BF16,CUDA_EVENT,generic,generic,none
0.010111999697983265,0.011071999557316303,0.010489599779248238,0.010463999584317207,0.00033156691851238376,5,0.019200000911951065,0.020959999412298203,0.020000000298023225,0.020096000283956528,0.0005837693209773756,5,0.04278400167822838,0.052000001072883606,0.046355200558900835,0.0459199994802475,0.003326929415256548,5,0.007648000027984381,0.009824000298976898,0.008262400049716234,0.007872000336647034,0.0007981804341877068,5,0.008895999751985073,0.010111999697983265,0.009683199971914292,0.0098879998549819,0.0004315138484857733,5,2048,32,4,16,1,9216,1,192,0,True,FLASHINFER,False,even,[192],192,192,192,192.0,192,0.0,0.0,0.0,False,0,192,192,BF16,CUDA_EVENT,generic,generic,none
0.010080000385642052,0.01071999967098236,0.010361599922180175,0.010304000228643417,0.00021741145250768238,5,0.018912000581622124,0.021247999742627144,0.019910399988293647,0.019680000841617584,0.0007836796257378382,5,0.04214400053024292,0.04601600021123886,0.04364160001277924,0.04323200136423111,0.0013061958274468656,5,0.007135999854654074,0.008287999778985977,0.0076223999261856076,0.007615999784320593,0.0003889809694903458,5,0.009088000282645226,0.009631999768316746,0.00933120008558035,0.009184000082314014,0.00023480238579197334,5,2048,32,4,16,1,9216,1,224,0,True,FLASHINFER,False,even,[224],224,224,224,224.0,224,0.0,0.0,0.0,False,0,224,224,BF16,CUDA_EVENT,generic,generic,none
0.01017600018531084,0.011807999573647976,0.010745600052177905,0.01056000031530857,0.0005573512376402254,5,0.019200000911951065,0.020864000543951988,0.019801600277423857,0.019519999623298645,0.0005807450575433965,5,0.04335999861359596,0.05321599915623665,0.046585599333047865,0.04483199864625931,0.003710532250598697,5,0.007552000228315592,0.011552000418305397,0.008595200162380934,0.00800000037997961,0.0014936290360989951,5,0.009568000212311745,0.010975999757647514,0.010233600065112114,0.01027199998497963,0.0004696045938884919,5,2048,32,4,16,1,9216,1,256,0,True,FLASHINFER,False,even,[256],256,256,256,256.0,256,0.0,0.0,0.0,False,0,256,256,BF16,CUDA_EVENT,generic,generic,none
0.010432000271975994,0.012128000147640705,0.011020800098776817,0.010912000201642513,0.0005947525689753867,5,0.019711999222636223,0.020864000543951988,0.02029440030455589,0.020160000771284103,0.00040192850833003775,5,0.042688000947237015,0.04774399846792221,0.04487679973244667,0.04447999969124794,0.0016656720846889798,5,0.00723200011998415,0.008704000152647495,0.007814399991184473,0.007712000049650669,0.00048251080777153495,5,0.009312000125646591,0.010367999784648418,0.009734399989247322,0.009568000212311745,0.00040849848654408034,5,2048,32,4,16,1,9216,1,288,0,True,FLASHINFER,False,even,[288],288,288,288,288.0,288,0.0,0.0,0.0,False,0,288,288,BF16,CUDA_EVENT,generic,generic,none
